X_id,Year,BranchCode,Sessions
419,2022,DP,22943
420,2022,DR,8493
421,2022,DT,1010
422,2022,DU,10777
423,2022,EA,14964
424,2022,EB,1137
425,2022,EG,3613
426,2022,EN,8193
427,2022,ES,18279
428,2022,FH,6495
429,2022,FO,14731
430,2022,FP,9928
431,2022,FV,46018
432,2022,GE,3697
433,2022,GHP,6531
434,2022,GW,2700
435,2022,HB,2728
436,2022,HC,3568
437,2022,HIL,3144
438,2022,HP,9156
439,2022,HS,3551
440,2022,HW,2807
441,2022,JD,17688
442,2022,JO,3350
443,2022,JS,10134
444,2022,KE,17130
445,2022,LB,4649
446,2022,LE,6381
447,2022,LO,7941
448,2022,LS,53604
449,2022,MA,11288
450,2022,MAL,23708
451,2022,MAS,24408
452,2022,MCG,7915
453,2022,MD,12200
454,2022,MI,5121
455,2022,MRV,9766
456,2022,MS,11739
457,2022,ND,40022
458,2022,NE,4798
459,2022,NT,5557
460,2022,OV,5348
461,2022,PA,14645
462,2022,PE,1690
463,2022,PK,43158
464,2022,PL,26672
465,2022,PM,6610
466,2022,PU,2287
467,2022,PV,3536
468,2022,QS,4032
469,2022,RD,16743
470,2022,RI,25414
471,2022,RN,28534
472,2022,RX,3016
473,2022,SA,17522
474,2022,SC,21266
475,2022,SI,2182
476,2022,SJ,14698
477,2022,SL,9443
478,2022,SP,5208
479,2022,ST,8960
480,2022,SW,540
481,2022,SWS,16305
482,2022,TA,2401
483,2022,TH,16651
484,2022,TOD,1220
485,2022,TRL,136640
486,2022,VV,2572
487,2022,WE,14837
488,2022,WP,4115
489,2022,WS,21028
490,2022,WY,3836
491,2022,YO,8755
492,2022,YW,16088
493,2023,AB,52888
494,2023,ACD,34765
495,2023,AD,5174
496,2023,AG,43030
497,2023,AH,1201
498,2023,AN,9283
499,2023,AP,8313
500,2023,BB,5899
501,2023,BC,12482
502,2023,BD,7421
503,2023,BE,11410
504,2023,BF,23940
505,2023,BL,61386
506,2023,BR,24906
507,2023,BRW,23076
508,2023,BUR,8548
509,2023,CC,7323
510,2023,CE,11546
511,2023,CED,35360
512,2023,CH,20290
513,2023,CL,112731
514,2023,CS,7299
515,2023,DA,17625
516,2023,DM,21049
517,2023,DO,34669
518,2023,DP,25134
519,2023,DR,11972
520,2023,DT,1478
521,2023,DU,13012
522,2023,EA,19720
523,2023,EB,1725
524,2023,EG,4087
525,2023,EN,10182
526,2023,ES,23864
527,2023,FH,8269
528,2023,FO,24851
529,2023,FP,15469
530,2023,FV,46876
531,2023,GE,6151
532,2023,GHP,10911
533,2023,GW,4966
534,2023,HB,2819
535,2023,HC,6091
